Textos_espanol,sdg
"1. 1. Introduccion: Las Estructuras Derecho Penal 2. El Estandar Persona Razonable Derecho Penal 3. La Responsabilidad Penal Delincuentes Suerte resultante responsabilidad penal 4. 4. Criminalizacion sadomasoquismo: negacion erotico, instanciacion violencia 5. Constitucionalismo limites Derecho Penal 6. Delincuencia internacional: contexto contraste Forma juridica juicio moral: Eutanasia suicidio asistido 8. Derecho anormal: La teratologia logica criminalizacion 9. Tensiones criminalizacion: Desierto Empirico, Cambio Normas Reforma Violacion 10. Delitos Preparacion, Intereses Seguridad Libertad Politica Delitos preparacion, intereses seguridad libertad politica",7
"Las aguas subterraneas debatido contexto tarificacion financiacion (OCDE, 2009a 2009b), energia (OCDE, 2012b), gestion riesgos (OCDE, 2013e) perspectivas mas amplias abarcan cambio climatico (OCDE, 2013d 2014a). Las aguas subterraneas tambien aparecen revisiones reformas agua nivel nacional (por ejemplo, Fuentes, 2011, OCDE, 2013b). Todos informes incluyen secciones, subsecciones, parrafos ilustraciones refieren aguas subterraneas, transmiten conclusiones politicas especificamente orientadas gestores tipos concretos aguas subterraneas, contexto agricultura. En primer lugar, observacion coherente aguas subterraneas estan generalmente estudiadas necesario realizar evaluacion mas profunda reservas, uso practicas gestion aguas subterraneas.",16
"La presente contribucion evalua jurisprudencia Tribunal Justicia Comunidades Europeas materia interpretacion disposiciones Convenio Aarhus relativas acceso justicia. Los casos referido A¡mbito temporal aplicaciA3n disposiciones acceso justicia, proyectos ejecutados actos especAficos legislaciA3n nacional exclusiA3n obligaciones derivadas Convenio, medidas cautelares effet utile disposiciones acceso justicia, abanico posibles motivos recurso judicial, papel errores procedimiento, costas procesales admisibles, acceso justicia asociaciones ecologistas virtud distintas disposiciones Convenio anulaciA3n permiso relaciA3n derecho propiedad. Como tambien muestra, jurisprudencia mismo tiempo relevante -aunque vinculante- Suiza Estado miembro UE, parte Convenio.",7
"Sin embargo, credito fiscal expira 2012. Wemau (2011a) calcula quinta parte capacidad generaciA3n energAa Estado podrAa decidir abandonar mercado lugar invertir mejoras necesarias, podrAa aumentar precio carbA3n 65% ofrecer oportunidades fuentes energAa renovables. Ahorra aproximadamente 47 000 toneladas CO2 aA±o sustituye anualmente mA¡s ocho millones desplazamientos vehAculo privado ciudad Calgary.",7
"Este estudio explora actitudes, comportamientos percepciones eticas muestra estudiantes ciencias politicas Taiwan. Investiga intenciones observar etica ambito derechos digitales, temas libertad expresion, libertad asociacion, igualdad acceso informacion, confidencialidad, seguridad proteccion propiedad intelectual uso ordenadores. Basandose estudios preliminares, diseno cuestionario distribuyo 660 estudiantes ciencias politicas administracion publica todas facultades Taiwan. Los datos recogidos 440 muestras validas analizado mediante modelo ecuaciones estructurales poner prueba tres conjuntos hipotesis formuladas investigadores marco teoria comportamiento planificado. Los resultados muestran actitud, norma subjetiva control percibido conducta encuestados influyen positivamente observacion personal etica informacion. En sentido, altruismo, grupo secundario sensacion seguridad gr...",7
"Desde tratados paz Westfalia 1648 Carta Naciones Unidas 1945, derecho internacional pAoblico evolucionado sistema derechos obligaciones recAprocos Estados basado igualdad soberana intervenciA3n asuntos internos Estados.1 La Carta Naciones Unidas, centrada Estados, sistema seguridad colectiva establecido potencias vencedoras Segunda Guerra Mundial,2 afirman prioridad jurAdica tratados internacionales conflicto.3 Sin embargo, enfoque unilateral tradicional ""derecho internacional Estados"" libertad poder gobiernos, lugar derechos humanos ciudadanos, cada vez mA¡s cuestionado parlamentos nacionales grupos sociedad civil ser incompatible reconocimiento universal derechos humanos inalienables necesidad legislaciA3n democrA¡tica proteja derechos humanos ""paz democrA¡tica"".4",7
"La existencia creacion vinculos ambitos politicos proporcionaria arquitectura institucional coherente mejoraria eficacia politica aguas. Tambien garantizaria planes inversion reflejaran mejor prioridades cuenca gasto publico sectores ajustara mejor objetivos politica aguas. El potencial coherencia politica ambito cuencas hidrograficas podria mejorarse mediante participacion sistematica organismos consejos cuenca; trata ambito seguir explotando. En particular, Agenda preve creacion Secretaria Ordenamiento Territorial estrategia ordenamiento territorial largo plazo, Observatorio Nacional Ordenamiento Territorial Sustentable Instituto Nacional Planeacion Desarrollo asegurar armonizacion largo plazo diferentes politicas desarrollo sectorial territorial Mexico. Tales herramientas ayudarian dejar atras tradicionales discusiones bilaterales ad hoc CONAGUA agencias (CONAFOR, SEDESOL, SAGARPA, etc.). La actual configuracion institucional tratar cuestiones cambio climatico podria servir ejemplo movilizar instituciones clave administracion publica federal hacia coherencia politica (vease recuadro 1.10).",7
"La seguridad maritima principales preocupaciones Malasia nacion maritima. No obstante, cuestion crucial si existen leyes adecuadas hacer frente principales delitos maritimos requieren medidas policiales eficaces. El documento constata ningun delito maritimo tipificado Codigo Penal, principal ley penal Malasia, existe ley antipirateria ninguna ley penal especial Malasia combatir delitos maritimos. La lamentable falta aplicacion ley mas apropiada perseguir piratas somalies demuestra bien urgente necesidad Malasia reforma legislativa pueda combatir eficazmente delitos maritimos. Sobre base analisis leyes determinados paises common law, documento concluye sugerencias propuesta ley delitos maritimos recomendar Gobierno Malasia.",16
"El Derecho Penal Internacional [DPI] contiene serie principios generales, constituyen fundamentos condiciones considerar individuos penalmente responsables crimenes derecho internacional (genocidio, crimenes lesa humanidad, crimenes guerra crimen agresion), crimenes paz seguridad humanidad. La mayoria principios generales LCI aplicado adecuadamente actual (segunda) edicion Codigo Penal Republica Kazajstan. Este documento evalAoa calidad identifica lagunas implementaciA3n CA3digo Penal KazajstA¡n, fin sugerir nuevas mejoras mismo.",16
"El proyecto gasoducto pretende establecer acuerdos interconexion electricidad gas natural ASEAN garantizar mayor seguridad sostenibilidad suministro energetico region, tiempo conectan gasoductos terminales regasificacion existentes previstos, minimizando impacto medioambiental. Esta labor dirigida Consejo Petroleo ASEAN, integrado responsable compania petrolera nacional cada pais miembro. La asociacion centra cooperacion economica regional capacitacion institucional, objetivo promover desarrollo recursos energeticos (incluida energia hidroelectrica), facilitar comercio energia region, desarrollar recursos energeticos renovables alternativos promover eficiencia conservacion energeticas.",16
"Argumenta amplio documento legitimidad derecho internacional depende principio pactos deben respetarse, revisando cuestiones autopreservaciA3n, proporcionalidad derechos humanos relaciA3n esto. Se centra guerra econA3mica terrorismo parte EEUU forma preeminente, tal expresa Ley PATRIOT Ley Poderes EconA3micos Emergencia Internacional Ley Antiterrorista Pena Muerte Efectiva. Concluye Patriot Act Homeland Security Act otorgan Ejecutivo poderes extraordinarios bA©licos: guerras fin, mientras terrorismo no. Examina papel tribunales federales EEUU contexto seguridad nacional, proporcionalidad derechos humanos, considera deficientes, informa casos concretos relativos movimientos resistencia iranAes estatus respecta terrorismo, casos Bajkajian, Austin Alexander respecta proporcionalidad.",7
"Pueden permitir seguimiento puntual despliegue infraestructuras energia limpia. Tambien pueden ayudar gobierno hacer seguimiento tasa exito proyectos energia limpia, puede orientar apoyo futuro tecnologias energia limpia, asi reforzar argumento comercial presentacion bancos nacionales. Por ultimo, igual caso despliegue generacion, expansion red tendra ser supervisada evaluada largo tiempo garantizar red capaz dar cabida cuota cada vez mayor generacion electricidad limpia.",7
"La emision C02 aumentaria 0,9% si aplica mix generacion Escenario 45015. Estos aumentos desproporcionadamente modestos comparacion numero personas beneficiadas (AIE, 2009b). Estos apagones suelen deberse cortes carga, practica frecuente compensar deficiencias generacion cortando parcialmente parte carga usuarios. La Tabla 4 confirma cortes electricidad mas frecuentes paises pertenecientes OCDE perjudican produccion economica. El impacto economico subraya cualquier inversion reforzar sistema electrico aumentar cantidad electricidad uso productivo aumenta ingresos empresas. Asi, asequibilidad servicios electricos tambien aumenta asegura viabilidad financiera servicio (AGEEC, 2010).",7
"La Ley Derechos Civiles 1964 mayores logros historia Estados Unidos. Aunque ley ilegalizo discriminacion, eficacia, especialmente Titulo VII relativo ambito laboral, sigue siendo discutida. Los autores sostienen cambios legales solo producen integracion racial lugar trabajo medida existen presiones politicas adicionales empresas eliminen segregacion. Examinan fluctuacion presion politica nacional hacer cumplir ley igualdad oportunidades empleo mandatos accion afirmativa influencias clave ritmo desegregacion racial lugar trabajo exploran trayectorias integracion blancos negros lugares trabajo EE.UU. 1966. Sus resultados muestran que, aunque presiones federales estatales favor igualdad oportunidades empleo exitos iniciales reduccion segregacion racial lugares trabajo, avanzado principios decada 1980. Llegan conclusion desegregacion racial proceso curso mediado politicamente, resultado natural inevitable las...",16
"Este articulo explora manifestaciones corrupcion funcionarios locales jueces reales ejercian autoridad nombre rey. Explora complejas menudo contradictorias percepciones mala praxis oficial hombres. El rey, particular, comprendia peligro representantes mancillaran reputacion corona. Sin embargo, medidas adoptadas combatir corrupcion mayoria ineficaces menudo resultaron ser retorica vacia. El debate muestra nuevas nociones servicio publico responsabilidad chocaban antiguas formas organizacion social politica basadas senorio jerarquia. TambiA©n sugiere abordar finalmente atajar corrupciA3n pueden encontrarse orAgenes ""servicio civil"".",7
"Esta situacion complica aun mas bajisimo indice recaudacion tasas consumo agua, hogares oscila 12% 80% factura enviada empresa suministro agua, media nacional 45% (Capitulo 5). La responsabilidad control calidad agua potable recae Departamento Seguridad Alimentaria, Veterinaria Proteccion Fitosanitaria Ministerio Agricultura, organiza licitaciones analisis calidad agua potable laboratorios acreditados. En caso situacion emergencia, resultados comunican municipios y, caso riesgos sanitarios, centro publico enfermedades Ministerio Sanidad, Trabajo Proteccion Social (MHLSP) incluso Consejo Ministros necesario.",7
"Sinopsis Dado mujeres reciben sistematicamente menos atencion hombres consolidacion paz analisis genero rara vez informa estrategias relacionadas transformacion conflictos, articulo examina proyecto PEACE III Union Europea (UE), titulado Mujeres Consolidacion Paz: Sharing the Learning, aborda carencia. Cuestiona naturaleza jerarquica dialogo consolidacion paz sociedad situacion posconflicto sugiere puede cambiarse. Muestra cA3mo activistas responsables polAticos pueden comprometerse mA¡s torno resoluciA3n 1325 Consejo Seguridad Naciones Unidas mujer, paz seguridad, sostiene si funcionarios gubernamentales adoptado sistema formulaciA3n polAticas mA¡s contextualizado ascendente, podrAan haber engendrado transformaciA3n social dentro procesos mA¡s amplios transiciA3n posconflicto. 1 Las conclusiones proyecto enmarcan contexto discursos dominantes paz seguridad deberAan ser relevantes participan aplicaciA3n resoluciA3n 1325 Consejo Seguridad Naciones Unidas sociedades situaciA3n posconflicto.",6
"Dado agua recurso local fuertes caracteristicas territoriales, explicacion participacion agentes subnacionales reside principalmente teorias relacionadas bienes publicos locales necesidad mecanismos descentralizados lograr asignacion optima. Pero practica, aplicacion sistema optimo asignacion agua varia pais rara vez implica delegacion total responsabilidad niveles inferiores gobierno. La gestion agua suele ser responsabilidad compartida distintos niveles gobierno.",6
"Este capitulo identifica considera impacto derechos humanos religion organizaciones religiosas, incluidas organizaciones beneficas religiosas, basandose jurisprudencia derivada de: Ley Igualdad 2010, articulo 14 Convenio Europeo derecho sufrir discriminacion motivos religion, articulo 9 derecho libertad pensamiento, conciencia religion, articulo 11 derecho libertad asociacion, articulo 18 Pacto Internacional Derechos Civiles Politicos, articulo 2 Protocolo 1.",7
"En paAses surgido nuevos tribunales especializados, respuesta presiA3n internacional favor reforma legal propia elecciA3n Estados. Entre tribunales encuentran especializados lucha corrupciA3n. El Tribunal Indonesio Delitos CorrupciA3n Yakarta, establecido originalmente ley 2002, adquiriA3 prominencia notoriedad tasa condena cercana 100% mA¡s 250 casos. Sin embargo, 2010, competencia exclusiva casos corrupcion ""descentralizada"" tribunales especiales corrupcion establecidos 34 capitales provinciales Indonesia. La prudencia medida sido criticada, cuestionado si tribunales regionales mantenido profesionalidad tribunal Aonico Yakarta. Este documento examina razA3n ser creaciA3n tribunales si tasas condena indicadores Aotiles rendimiento.",7
